tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
2811,2020-04-20 00:09:29.7220,2020-04-20 00:56:20.9190,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,31595,Customer,1969,0
2849,2020-04-20 00:09:35.7170,2020-04-20 00:57:05.2800,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,42840,Customer,1969,0
284,2020-04-20 00:09:43.0080,2020-04-20 00:14:27.0950,3593,31 St & Broadway,40.761584,-73.925921,3568,34 St & 35 Ave,40.756933200000006,-73.92622309999999,43563,Subscriber,1994,1
566,2020-04-20 00:09:43.0110,2020-04-20 00:19:09.2620,3156,E 72 St & York Ave,40.76663814,-73.95348296,3318,2 Ave & E 96 St,40.7839636,-73.94716729999999,40868,Subscriber,1994,2
2840,2020-04-20 00:09:59.1340,2020-04-20 00:57:20.0400,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,15432,Customer,1969,0
403,2020-04-20 00:10:18.1190,2020-04-20 00:17:01.9550,479,9 Ave & W 45 St,40.76019252,-73.9912551,513,W 56 St & 10 Ave,40.768254,-73.988639,32949,Subscriber,1955,1
289,2020-04-20 00:10:21.1280,2020-04-20 00:15:10.5960,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,29355,Subscriber,1975,1
124,2020-04-20 00:10:29.0920,2020-04-20 00:12:33.1450,3156,E 72 St & York Ave,40.76663814,-73.95348296,3725,2 Ave & E 72 St,40.7687620293096,-73.95840793848038,41055,Subscriber,1993,1
429,2020-04-20 00:10:29.9960,2020-04-20 00:17:39.9400,3772,Devoe St & Morgan Ave,40.713811,-73.93515,3850,Jefferson St & Cypress Ave,40.709070000000004,-73.92156999999999,20204,Subscriber,1990,1
1207,2020-04-20 00:10:52.9890,2020-04-20 00:31:00.5480,482,W 15 St & 7 Ave,40.73935542,-73.99931783,450,W 49 St & 8 Ave,40.76227205,-73.98788205,21662,Customer,1969,0
994,2020-04-20 00:11:01.9600,2020-04-20 00:27:36.0930,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,3615,44 Dr & 21 St,40.748000000000005,-73.94609270000001,43129,Subscriber,1992,1
2294,2020-04-20 00:11:13.6550,2020-04-20 00:49:28.2070,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,307,Canal St & Rutgers St,40.71427487,-73.98990025,36992,Subscriber,1965,1
1275,2020-04-20 00:11:17.5690,2020-04-20 00:32:33.5570,3846,Central Ave & Himrod St,40.69676,-73.92302,3846,Central Ave & Himrod St,40.69676,-73.92302,39048,Customer,1969,0
